time,W02,,,STS06,,,STS17,,,STS23,,,NTS23,,,STS29,,,E2,,,W1,,,E1,,,STCB,,,North_Ref,,,U1,,,U2,,,U3,,,U4,,,U5,,,U6,,,U7,,,U8,,,U9,,,U10,,,U11,,
,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel
2014-01-22 1:34,-213787.7031,4157980.25,77.44100189,35.93270493,4.673405647,-1,-213730.2969,4158001.25,78.38800049,24.11085129,1.633046508,0,-213601.6094,4158049.75,79.88200378,9.831590652,0.582951248,-6,-213531.5781,4158076,80.09600067,0.702676296,1.872497082,-14,-213543.3125,4158107.75,80.10700226,4.914815426,-3.980526209,-10,-213461.2656,4158102.5,79.84700012,-1.287586689,-0.584910214,-4,-213279.9219,4158170.75,77.44999695,-21.3001461,5.856942177,5,-213681.2656,4158037.75,142.4609985,18.14202118,2.804827213,-8,-213398,4158144,142.473999,-11.70408726,0.119725078,-8,-213534.4219,4158076.5,79.7009964,4.447670937,0.467144936,-6,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44200134,35.93270493,4.673405647,0,-213730.2969,4158001.25,78.38600159,25.3984375,2.217957258,-2,-213601.6094,4158049.75,79.87999725,10.18292809,1.51919961,-8,-213531.5781,4158076,80.09600067,0.702676296,1.872497082,-14,-213543.3125,4158107.75,80.10500336,4.329905033,-2.692939043,-12,-213461.2656,4158102.5,79.84600067,-2.926511526,-2.106069088,-5,-213279.9219,4158170.75,77.44999695,-21.65148354,4.920693398,5,-213681.2656,4158037.75,142.4620056,19.31184196,0.229653716,-7,-213398,4158144,142.4779968,-12.64033604,0.471063226,-4,-213534.4219,4158076.5,79.7009964,4.09633255,-0.469103843,-6,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44200134,34.29378128,3.152246714,0,-213730.2969,4158001.25,78.38500214,26.68602562,2.802867889,-3,-213601.6094,4158049.75,79.8809967,8.895341873,0.934289396,-7,-213531.5781,4158076,80.09600067,2.223835468,0.233572453,-14,-213543.3125,4158107.75,80.10700226,5.266153812,-3.044277191,-10,-213461.2656,4158102.5,79.84600067,-0.351338059,-0.936248362,-5,-213279.9219,4158170.75,77.44799805,-20.71523666,4.569355488,3,-213681.2656,4158037.75,142.4629974,17.79068375,1.868578434,-6,-213398,4158144,142.4759979,-11.70408726,0.119725078,-6,-213534.4219,4158076.5,79.7009964,2.575173616,1.169821262,-6,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.43900299,36.51761627,3.38581872,-3,-213730.2969,4158001.25,78.38700104,24.46218872,2.569295406,-1,-213601.6094,4158049.75,79.8809967,11.11917686,1.167861462,-7,-213531.5781,4158076,80.09500122,0.9362486,-0.351338148,-15,-213543.3125,4158107.75,80.10600281,5.266153812,-3.044277191,-11,-213461.2656,4158102.5,79.84799957,-1.638924837,-1.521158934,-3,-213279.9219,4158170.75,77.44999695,-21.65148354,4.920693398,5,-213681.2656,4158037.75,142.4620056,18.37559319,0.580991864,-7,-213398,4158144,142.477005,-11.35274982,1.055973887,-5,-213534.4219,4158076.5,79.70300293,3.160084009,-0.117765695,-4,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44200134,34.64511871,4.088494778,0,-213730.2969,4158001.25,78.38700104,25.3984375,2.217957258,-1,-213601.6094,4158049.75,79.8789978,9.831590652,0.582951248,-9,-213531.5781,4158076,80.09600067,0.9362486,-0.351338148,-14,-213543.3125,4158107.75,80.10399628,6.202402592,-3.395615578,-13,-213461.2656,4158102.5,79.84799957,-2.575173616,-1.169820786,-3,-213279.9219,4158170.75,77.44799805,-22.00282288,3.984445333,3,-213681.2656,4158037.75,142.4629974,17.79068375,1.868578434,-6,-213398,4158144,142.4759979,-13.57658482,0.822401404,-6,-213534.4219,4158076.5,79.70300293,4.09633255,-0.469103843,-4,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44000244,35.93270493,4.673405647,-2,-213730.2969,4158001.25,78.38800049,26.33468628,1.866618991,0,-213601.6094,4158049.75,79.88200378,10.18292809,1.51919961,-6,-213531.5781,4158076,80.09400177,0.9362486,-0.351338148,-16,-213543.3125,4158107.75,80.10600281,6.202402592,-3.395615578,-11,-213461.2656,4158102.5,79.84600067,-1.990262985,-2.457407236,-5,-213279.9219,4158170.75,77.4469986,-20.36389732,5.505604267,2,-213681.2656,4158037.75,142.4629974,17.79068375,1.868578434,-6,-213398,4158144,142.473999,-11.35274982,1.055973887,-8,-213534.4219,4158076.5,79.70300293,4.09633255,-0.469103843,-4,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44400024,34.06020737,5.376081944,2,-213730.2969,4158001.25,78.38600159,25.04710007,1.28170836,-2,-213601.6094,4158049.75,79.88200378,8.31043148,2.221875906,-6,-213531.5781,4158076,80.09500122,1.638924837,1.521158934,-15,-213543.3125,4158107.75,80.10700226,4.329905033,-2.692939043,-10,-213461.2656,4158102.5,79.84300232,-1.638924837,-1.521158934,-8,-213279.9219,4158170.75,77.4469986,-21.0665741,3.633107185,2,-213681.2656,4158037.75,142.4620056,19.6631813,1.165902019,-7,-213398,4158144,142.4750061,-11.70408726,0.119725078,-7,-213534.4219,4158076.5,79.70400238,3.511422396,0.818483114,-3,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44100189,35.58136749,3.737156868,-1,-213730.2969,4158001.25,78.38800049,25.16486549,4.441792488,0,-213601.6094,4158049.75,79.87999725,10.76783943,0.231613085,-8,-213531.5781,4158076,80.09600067,0.702676296,1.872497082,-14,-213543.3125,4158107.75,80.10399628,6.202402592,-3.395615578,-13,-213461.2656,4158102.5,79.84500122,-2.926511526,-2.106069088,-6,-213279.9219,4158170.75,77.44999695,-20.71523666,4.569355488,5,-213681.2656,4158037.75,142.4609985,18.37559319,0.580991864,-8,-213398,4158144,142.477005,-12.64033604,0.471063226,-5,-213534.4219,4158076.5,79.70300293,2.223835468,0.233572453,-4,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44200134,34.99645615,5.024743557,0,-213730.2969,4158001.25,78.38800049,25.3984375,2.217957258,0,-213601.6094,4158049.75,79.8809967,9.24668026,1.870537758,-7,-213531.5781,4158076,80.09799957,0.702676296,1.872497082,-12,-213543.3125,4158107.75,80.10500336,4.914815426,-3.980526209,-12,-213461.2656,4158102.5,79.84500122,-1.990262985,-2.457407236,-6,-213279.9219,4158170.75,77.44799805,-21.0665741,3.633107185,3,-213681.2656,4158037.75,142.4629974,17.79068375,1.868578434,-6,-213398,4158144,142.4750061,-11.70408726,0.119725078,-7,-213534.4219,4158076.5,79.70300293,4.447670937,0.467144936,-4,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44300079,34.99645615,5.024743557,1,-213730.2969,4158001.25,78.38899994,24.46218872,2.569295406,1,-213601.6094,4158049.75,79.88300323,9.831590652,0.582951248,-5,-213531.5781,4158076,80.09500122,0.702676296,1.872497082,-15,-213543.3125,4158107.75,80.10800171,4.914815426,-3.980526209,-9,-213461.2656,4158102.5,79.84500122,-1.990262985,-2.457407236,-6,-213279.9219,4158170.75,77.4509964,-20.71523666,4.569355488,6,-213681.2656,4158037.75,142.4609985,18.37559319,0.580991864,-8,-213398,4158144,142.477005,-12.64033604,0.471063226,-5,-213534.4219,4158076.5,79.7009964,2.808745861,-1.054014444,-6,0,0,0,0,0,0
