time,YJ-3A-DSG-05,YJ-3A-DSG-01,YJ-3A-DSG-06,YJ-3A-DSG-04,YJ-3A-DSG-03,YJ-3A-DSG-02
2014-01-22 1:34,1689.668579,-698.3583374,503.1862488,-265.9593201,459.3299561,1704.370117
2014-01-22 1:34,1689.717285,-698.2727661,503.2229309,-265.8938904,459.4724731,1704.337524
2014-01-22 1:34,1689.688843,-698.2890625,503.2718201,-265.947052,459.476532,1704.44751
2014-01-22 1:34,1689.737671,-698.3257446,503.1740417,-265.8938904,459.3299561,1704.496338
2014-01-22 1:34,1689.786377,-698.3745728,503.2188416,-265.877533,459.3462219,1704.467896
2014-01-22 1:34,1689.80249,-698.3257446,503.2881165,-265.9143372,459.3299561,1704.415039
2014-01-22 1:34,1689.80249,-698.3257446,503.2351379,-265.9429626,459.4887695,1704.500488
2014-01-22 1:34,1689.765991,-698.4071655,503.2555237,-265.877533,459.476532,1704.480225
2014-01-22 1:34,1689.80249,-698.3583374,503.3044128,-265.7834778,459.358429,1704.496338
2014-01-22 1:34,1689.895874,-698.3216553,503.2555237,-265.7834778,459.4073181,1704.545288
2014-01-22 1:34,1689.84729,-698.223938,503.2514343,-265.8448181,459.411377,1704.463867
2014-01-22 1:34,1689.765991,-698.3583374,503.2351379,-265.8938904,459.3095703,1704.435303
2014-01-22 1:34,1689.818848,-698.4071655,503.2718201,-265.8284607,459.264801,1704.581909
2014-01-22 1:34,1689.733521,-698.354248,503.3369751,-265.8284607,459.2281189,1704.463867
2014-01-22 1:34,1689.765991,-698.3583374,503.3492432,-265.9102478,459.2810669,1704.435303
2014-01-22 1:34,1689.753784,-698.3704834,503.2881165,-265.9266052,459.2932739,1704.512695
2014-01-22 1:34,1689.688843,-698.3216553,503.2066345,-265.9143372,459.3910217,1704.512695
2014-01-22 1:34,1689.688843,-698.2768555,503.1740417,-265.975647,459.3258667,1704.484253
2014-01-22 1:34,1689.863403,-698.3216553,503.2066345,-265.9143372,459.2973633,1704.533081
2014-01-22 1:34,1689.912231,-698.3745728,503.3166504,-265.8938904,459.3299561,1704.512695
2014-01-22 1:34,1689.753784,-698.2442627,503.2555237,-265.877533,459.4073181,1704.496338
2014-01-22 1:34,1689.721313,-698.3094482,503.1740417,-265.8652649,459.5579834,1704.512695
2014-01-22 1:34,1689.765991,-698.354248,503.2025452,-265.8652649,459.4561768,1704.500488
2014-01-22 1:34,1689.700928,-698.354248,503.3166504,-265.9102478,459.476532,1704.431152
2014-01-22 1:34,1689.717285,-698.3868408,503.2514343,-265.9593201,459.3462219,1704.512695
2014-01-22 1:34,1689.619751,-698.2442627,503.2718201,-265.9306946,459.3788147,1704.435303
2014-01-22 1:34,1689.668579,-698.2442627,503.1903381,-265.9102478,459.476532,1704.451538
2014-01-22 1:34,1689.700928,-698.2727661,503.3492432,-265.83255,459.3910217,1704.370117
2014-01-22 1:34,1689.721313,-698.3868408,503.2555237,-265.7998352,459.3462219,1704.40271
2014-01-22 1:34,1689.737671,-698.3868408,503.2881165,-265.8938904,459.2810669,1704.435303
2014-01-22 1:34,1689.721313,-698.3745728,503.2840271,-265.8284607,459.3095703,1704.415039
2014-01-22 1:34,1689.77002,-698.34198,503.2881165,-265.8489075,459.2810669,1704.382324
2014-01-22 1:34,1689.818848,-698.3704834,503.2555237,-265.8979797,459.4276733,1704.451538
